# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/50fallleaf_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.01832872754,4.46326449248e-18,0.0283963740916,2.7895403078e-19
0.0001,1.00685710906,9.1353570009e-05,0.0257448823463,3.44284054936e-05
0.001,0.935648987096,0.000134739077279,0.0177355108861,4.17742905806e-05
0.002,0.908356427146,9.29336123071e-05,0.0324327548759,8.06277785063e-05
0.003,0.897455484314,7.39451175841e-05,0.0578694085153,0.000111045758934
0.004,0.894395326932,4.9946110982e-05,0.0859307017966,0.000137014170449
0.005,0.894906201892,4.17607749543e-05,0.113276268941,0.000143721216295
0.006,0.896806749835,3.9005118752e-05,0.138625077706,0.000139399934141
0.007,0.899312576503,3.63509628098e-05,0.16317589632,0.000143214091118
0.008,0.902573231298,3.87024584013e-05,0.186136011118,0.000145608646668
0.009,0.905628047111,3.64426811984e-05,0.206960870537,0.000149247379712
0.01,0.909113039829,3.4610362786e-05,0.226394716355,0.000152182415628
0.02,0.941653279102,3.03856081094e-05,0.367267851727,0.000134980954655
0.03,0.967657343542,2.40076675467e-05,0.447240479944,0.000107260309865
0.04,0.989617074558,2.55689034001e-05,0.497420838452,8.08100776419e-05
0.05,1.00953467028,2.34467560418e-05,0.532676323658,6.60634979772e-05
0.06,1.02801104539,2.37215346616e-05,0.557958156855,6.07652524824e-05
0.07,1.04522044117,2.41771613813e-05,0.577308337397,5.24523360488e-05
0.08,1.06165275478,2.569285351e-05,0.592125920985,4.52844075322e-05
0.09,1.07713881359,2.58408113368e-05,0.604198400977,4.37722135296e-05
0.1,1.09191633291,2.66593445857e-05,0.613740494869,4.34584966205e-05
0.2,1.20725242971,2.26143355952e-05,0.654279935837,2.61217071722e-05
0.3,1.2841054613,1.77042993778e-05,0.657019849692,1.98645176158e-05
0.4,1.3395746052,1.66711159376e-05,0.647902175486,1.78142723945e-05
0.5,1.38236413103,1.36149518949e-05,0.634298302242,1.80984567106e-05
0.6,1.41657939326,1.23626662998e-05,0.618437245836,1.97334811307e-05
0.7,1.44501056676,1.10856876479e-05,0.601755751159,1.88767650272e-05
0.8,1.46913452873,9.65887816115e-06,0.58500059765,1.73287706956e-05
0.9,1.49000497526,9.73657526822e-06,0.568498923835,1.68248764593e-05
1.0,1.50843941791,8.83042008936e-06,0.552520826895,1.61238982688e-05
2.0,1.62673748269,6.21973438477e-06,0.423883554486,1.17795568521e-05
3.0,1.6951059855,5.69290561003e-06,0.332984541126,1.0811790909e-05
4.0,1.74312001229,4.50231239816e-06,0.265976618423,8.637985796e-06
5.0,1.77971764507,4.02221844078e-06,0.215389390597,7.88666101039e-06
6.0,1.80899312072,3.61707513632e-06,0.175928809553,6.76606782123e-06
7.0,1.83310996445,3.52526796264e-06,0.144395012984,6.25310509976e-06
8.0,1.85343701812,3.30940045205e-06,0.11862802238,5.52555151447e-06
9.0,1.87077908498,2.98696837998e-06,0.097450523165,4.78790966012e-06
10.0,1.8857598354,2.74574860716e-06,0.0798989076589,4.09188757288e-06
15.0,1.93707672606,1.8347908964e-06,0.0282735101891,1.72684106759e-06
20.0,1.9652159374,1.44614165027e-06,0.00925543803497,7.99650499705e-07
25.0,1.98107430348,1.05286276541e-06,0.00281953628939,3.17356969448e-07
30.0,1.98998648776,8.09846388453e-07,0.000797639334265,1.30355910508e-07
35.0,1.99490309492,5.69309955296e-07,0.000207503478026,4.65008924493e-08
40.0,1.99753300946,3.52450718556e-07,4.86744737233e-05,1.38855444752e-08
45.0,1.99887510456,2.51601929866e-07,1.01273835094e-05,4.52841290721e-09
50.0,1.99952239246,1.72780807566e-07,1.82713139478e-06,1.32445343128e-09
# The data files below are included in this aggregation:,,,,
# logfiles/50fallleaf/50fallleaf_u001-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u002-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u003-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u004-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u005-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u006-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u007-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u008-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u009-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u010-20160229_211524.csv,,,,
# logfiles/50fallleaf/50fallleaf_u011-20160304_054436.csv,,,,
# logfiles/50fallleaf/50fallleaf_u012-20160304_054438.csv,,,,
# logfiles/50fallleaf/50fallleaf_u013-20160304_054446.csv,,,,
# logfiles/50fallleaf/50fallleaf_u014-20160304_054450.csv,,,,
# logfiles/50fallleaf/50fallleaf_u015-20160304_054454.csv,,,,
# logfiles/50fallleaf/50fallleaf_u016-20160304_054458.csv,,,,
# logfiles/50fallleaf/50fallleaf_u017-20160304_054459.csv,,,,
# logfiles/50fallleaf/50fallleaf_u018-20160304_054539.csv,,,,
# logfiles/50fallleaf/50fallleaf_u019-20160304_054540.csv,,,,
# logfiles/50fallleaf/50fallleaf_u020-20160304_054604.csv,,,,
# logfiles/50fallleaf/50fallleaf_u021-20160304_054619.csv,,,,
# logfiles/50fallleaf/50fallleaf_u022-20160304_054619.csv,,,,
# logfiles/50fallleaf/50fallleaf_u023-20160304_054631.csv,,,,
# logfiles/50fallleaf/50fallleaf_u024-20160304_054647.csv,,,,
# logfiles/50fallleaf/50fallleaf_u025-20160304_054651.csv,,,,
# logfiles/50fallleaf/50fallleaf_u026-20160304_054658.csv,,,,
# logfiles/50fallleaf/50fallleaf_u027-20160304_054701.csv,,,,
# logfiles/50fallleaf/50fallleaf_u028-20160304_054702.csv,,,,
# logfiles/50fallleaf/50fallleaf_u029-20160304_054723.csv,,,,
# logfiles/50fallleaf/50fallleaf_u030-20160304_054727.csv,,,,
# logfiles/50fallleaf/50fallleaf_u031-20160304_054727.csv,,,,
# logfiles/50fallleaf/50fallleaf_u032-20160304_054757.csv,,,,
# logfiles/50fallleaf/50fallleaf_u033-20160304_054758.csv,,,,
# logfiles/50fallleaf/50fallleaf_u034-20160304_054801.csv,,,,
# logfiles/50fallleaf/50fallleaf_u035-20160304_054827.csv,,,,
# logfiles/50fallleaf/50fallleaf_u036-20160304_054827.csv,,,,
# logfiles/50fallleaf/50fallleaf_u037-20160304_054905.csv,,,,
# logfiles/50fallleaf/50fallleaf_u038-20160304_054909.csv,,,,
# logfiles/50fallleaf/50fallleaf_u039-20160304_054912.csv,,,,
# logfiles/50fallleaf/50fallleaf_u040-20160304_054940.csv,,,,
# logfiles/50fallleaf/50fallleaf_u041-20160304_054946.csv,,,,
# logfiles/50fallleaf/50fallleaf_u042-20160304_054957.csv,,,,
# logfiles/50fallleaf/50fallleaf_u043-20160304_055007.csv,,,,
# logfiles/50fallleaf/50fallleaf_u044-20160304_055009.csv,,,,
# logfiles/50fallleaf/50fallleaf_u045-20160304_055011.csv,,,,
# logfiles/50fallleaf/50fallleaf_u046-20160304_055029.csv,,,,
# logfiles/50fallleaf/50fallleaf_u047-20160304_055059.csv,,,,
# logfiles/50fallleaf/50fallleaf_u048-20160304_055118.csv,,,,
# logfiles/50fallleaf/50fallleaf_u049-20160304_055145.csv,,,,
# logfiles/50fallleaf/50fallleaf_u050-20160304_055200.csv,,,,
# logfiles/50fallleaf/50fallleaf_u051-20160304_055202.csv,,,,
# logfiles/50fallleaf/50fallleaf_u052-20160304_055213.csv,,,,
# logfiles/50fallleaf/50fallleaf_u053-20160304_055222.csv,,,,
# logfiles/50fallleaf/50fallleaf_u054-20160304_055247.csv,,,,
# logfiles/50fallleaf/50fallleaf_u055-20160304_055320.csv,,,,
# logfiles/50fallleaf/50fallleaf_u056-20160304_055322.csv,,,,
# logfiles/50fallleaf/50fallleaf_u057-20160304_055327.csv,,,,
# logfiles/50fallleaf/50fallleaf_u058-20160304_055329.csv,,,,
# logfiles/50fallleaf/50fallleaf_u059-20160304_055330.csv,,,,
# logfiles/50fallleaf/50fallleaf_u060-20160304_055334.csv,,,,
# logfiles/50fallleaf/50fallleaf_u061-20160304_055351.csv,,,,
# logfiles/50fallleaf/50fallleaf_u062-20160304_055358.csv,,,,
# logfiles/50fallleaf/50fallleaf_u063-20160304_055415.csv,,,,
# logfiles/50fallleaf/50fallleaf_u064-20160304_055425.csv,,,,
# logfiles/50fallleaf/50fallleaf_u065-20160304_055443.csv,,,,
# logfiles/50fallleaf/50fallleaf_u066-20160304_055458.csv,,,,
# logfiles/50fallleaf/50fallleaf_u067-20160304_055514.csv,,,,
# logfiles/50fallleaf/50fallleaf_u068-20160304_055522.csv,,,,
# logfiles/50fallleaf/50fallleaf_u069-20160304_055526.csv,,,,
# logfiles/50fallleaf/50fallleaf_u070-20160304_055552.csv,,,,
# logfiles/50fallleaf/50fallleaf_u071-20160304_055614.csv,,,,
# logfiles/50fallleaf/50fallleaf_u072-20160304_055639.csv,,,,
# logfiles/50fallleaf/50fallleaf_u073-20160304_055639.csv,,,,
# logfiles/50fallleaf/50fallleaf_u074-20160304_055838.csv,,,,
# logfiles/50fallleaf/50fallleaf_u075-20160304_055946.csv,,,,
# logfiles/50fallleaf/50fallleaf_u076-20160304_060033.csv,,,,
# logfiles/50fallleaf/50fallleaf_u077-20160304_060050.csv,,,,
# logfiles/50fallleaf/50fallleaf_u078-20160304_060121.csv,,,,
# logfiles/50fallleaf/50fallleaf_u079-20160304_060121.csv,,,,
# logfiles/50fallleaf/50fallleaf_u080-20160304_060531.csv,,,,
# logfiles/50fallleaf/50fallleaf_u081-20160304_064357.csv,,,,
# logfiles/50fallleaf/50fallleaf_u082-20160304_064421.csv,,,,
# logfiles/50fallleaf/50fallleaf_u083-20160304_064424.csv,,,,
# logfiles/50fallleaf/50fallleaf_u084-20160304_064712.csv,,,,
# logfiles/50fallleaf/50fallleaf_u085-20160304_064735.csv,,,,
# logfiles/50fallleaf/50fallleaf_u086-20160304_064738.csv,,,,
# logfiles/50fallleaf/50fallleaf_u087-20160304_064800.csv,,,,
# logfiles/50fallleaf/50fallleaf_u088-20160304_064828.csv,,,,
# logfiles/50fallleaf/50fallleaf_u089-20160304_064903.csv,,,,
# logfiles/50fallleaf/50fallleaf_u090-20160304_064903.csv,,,,
# logfiles/50fallleaf/50fallleaf_u091-20160304_064907.csv,,,,
# logfiles/50fallleaf/50fallleaf_u092-20160304_064919.csv,,,,
# logfiles/50fallleaf/50fallleaf_u093-20160304_064923.csv,,,,
# logfiles/50fallleaf/50fallleaf_u094-20160304_065000.csv,,,,
# logfiles/50fallleaf/50fallleaf_u095-20160304_065001.csv,,,,
# logfiles/50fallleaf/50fallleaf_u096-20160304_065050.csv,,,,
# logfiles/50fallleaf/50fallleaf_u097-20160304_065053.csv,,,,
# logfiles/50fallleaf/50fallleaf_u098-20160304_065057.csv,,,,
# logfiles/50fallleaf/50fallleaf_u099-20160304_065152.csv,,,,
# logfiles/50fallleaf/50fallleaf_u100-20160304_065259.csv,,,,
