# Aggregate Log Version: 1.01,,,,,,,,,,
# Log Name: logfiles/kochSnowflake_u100_aglog.csv,,,,,,,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err, Sum(Abs(Diff), SAD Std Err, Sum(Abs(CenDiff)), SAC Std Err, Avg Diff Mean Squared, ADMS Ste
0.0,1.33845553049,3.57061159398e-17,0.0302285197588,3.83561792322e-19,1.31162592486,2.67795869549e-17,0.481953630217,8.92652898496e-18,0.026449954789,4.1843104617e-19
0.0001,1.31909680824,0.000129808389638,0.0248135072722,4.12500025224e-05,1.26872098002,0.000449962718471,0.454056463868,0.00029261326701,0.0217118188632,3.60937522071e-05
0.001,1.21074124892,0.00016732569726,0.0136144968972,2.09949066569e-05,1.11187423867,0.000946762146842,0.40858125075,0.000510234091516,0.011912684785,1.83705433248e-05
0.002,1.17058926885,0.000106573353566,0.0188121143409,4.98251160906e-05,1.17032362602,0.000905165215587,0.438777675569,0.000654298240667,0.0164606000483,4.35969765792e-05
0.003,1.15297966631,8.08926712678e-05,0.0291826026135,7.61336697532e-05,1.26065353054,0.00096278471613,0.510745501927,0.00061041912096,0.0255347772868,6.66169610341e-05
0.004,1.14595061327,5.72460947462e-05,0.0434767443911,8.8578017226e-05,1.33916350446,0.000924256553821,0.597765251796,0.000617289895997,0.0380421513422,7.75057650727e-05
0.005,1.14298820718,4.31446842699e-05,0.0579066340077,0.000102742785038,1.36671627535,0.00102297106915,0.69447083269,0.00070013873877,0.0506683047568,8.9899936908e-05
0.006,1.14202789472,3.70368920509e-05,0.0728773166999,0.00010521039591,1.39014265308,0.00102367141887,0.788802886359,0.000709150189598,0.0637676521124,9.20590964215e-05
0.007,1.1416666804,2.99572497174e-05,0.0869256820959,0.000108547739475,1.39097888424,0.000884418618477,0.86144824485,0.000708552598175,0.0760599718339,9.49792720409e-05
0.008,1.14231455854,3.06063894887e-05,0.100833181862,0.000112085800822,1.39943905116,0.000843767947484,0.924361877013,0.000715142895274,0.0882290341294,9.8075075719e-05
0.009,1.14299801361,2.97135440516e-05,0.11353495137,0.000111053306261,1.3957727154,0.000777800104562,0.97244572236,0.00064085325319,0.0993430824492,9.71716429784e-05
0.01,1.14425256212,3.00894323865e-05,0.125775005961,0.000108606834219,1.39558294601,0.00062354437112,1.02353735147,0.00054429242086,0.110053130216,9.50309799414e-05
0.02,1.1569633763,2.21868267118e-05,0.218078377784,0.00010695982286,1.6668776707,0.000412331021595,1.40475662538,0.000425908073785,0.190818580561,9.35898450028e-05
0.03,1.16742062927,1.48377547283e-05,0.277147312916,8.0805702364e-05,1.74558658791,0.000377726732092,1.50665872443,0.000250294849153,0.242503898802,7.07049895685e-05
0.04,1.17644273982,1.37067184388e-05,0.315459927728,6.57567262395e-05,1.73596116641,0.000322435881044,1.56626180256,0.000201226695999,0.276027436762,5.75371354596e-05
0.05,1.18503483811,1.28165863153e-05,0.343671189366,6.1321066079e-05,1.69913019074,0.000230880807966,1.5744277242,0.000173866486949,0.300712290695,5.36559328191e-05
0.06,1.19363876622,1.36968275949e-05,0.365617454495,5.55451869551e-05,1.70142774303,0.000152710079102,1.55706468857,0.000166030585343,0.319915272683,4.86020385857e-05
