# Aggregate Log Version: 1.01,,,,,,,,,,
# Log Name: logfiles/70owl_u100_aglog.csv,,,,,,,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err, Sum(Abs(Diff), SAD Std Err, Sum(Abs(CenDiff)), SAC Std Err, Avg Diff Mean Squared, ADMS Ste
0.0,1.43224315216,1.11581612312e-17,0.271801766899,6.13698867716e-18,1.3444721945,2.00846902162e-17,1.24604805547,1.33897934774e-17,0.237826546036,4.74221852326e-18
0.0001,1.43223839186,1.15212242768e-06,0.271895465584,1.39734082866e-06,1.34487671964,1.71412493192e-05,1.24622457933,5.75512927148e-06,0.237908532386,1.22267322507e-06
0.001,1.43238844424,3.9630958269e-06,0.272920160048,5.70770600095e-06,1.34834575201,4.6704004189e-05,1.24855233449,2.406582903e-05,0.238805140042,4.99424275083e-06
0.002,1.43258592352,4.52204338686e-06,0.274111237154,6.90654481576e-06,1.35210457527,5.56575590627e-05,1.25140490185,3.04232497343e-05,0.23984733251,6.04322671379e-06
0.003,1.43277034447,5.17723767435e-06,0.275330595558,9.06533227236e-06,1.35497558996,5.55887788472e-05,1.25386976645,4.04154948161e-05,0.240914271114,7.93216573831e-06
0.004,1.43302242675,5.10731370953e-06,0.27653759333,1.03522312154e-05,1.35736915826,5.2296601694e-05,1.25665167806,4.55811333855e-05,0.241970394164,9.0582023135e-06
0.005,1.43324199585,5.04318133948e-06,0.2776594997,1.05803468321e-05,1.35944855887,5.20916563433e-05,1.25887746083,4.52901296002e-05,0.242952062238,9.2578034781e-06
0.006,1.43349541023,5.4419189693e-06,0.278797697194,1.10066636377e-05,1.36164087249,4.99412105896e-05,1.26131360214,4.5975568508e-05,0.243947985045,9.63083068299e-06
0.007,1.43373092112,5.3339552396e-06,0.279817483936,1.12298611547e-05,1.36297268722,5.38315672037e-05,1.26295962211,4.38497247711e-05,0.244840298444,9.8261285104e-06
0.008,1.43398723112,5.25207183292e-06,0.280896480322,1.22453842354e-05,1.36458620478,4.46179956676e-05,1.26511061056,4.55023950746e-05,0.245784420282,1.0714711206e-05
0.009,1.43418809651,5.46361892713e-06,0.281890616467,1.23708456483e-05,1.36603253933,3.63437494261e-05,1.26681709541,4.78925350621e-05,0.246654289409,1.08244899423e-05
0.01,1.43447106824,5.45833022324e-06,0.283009701695,1.21488104204e-05,1.36693373348,3.4350076505e-05,1.26889163193,4.71553157795e-05,0.247633488983,1.06302091178e-05
0.02,1.43711193843,4.91673503292e-06,0.29277206963,1.36940641151e-05,1.37443401075,1.23499149973e-05,1.2837348469,3.67202674198e-05,0.256175560927,1.19823061007e-05
0.03,1.43957762556,4.96281836257e-06,0.300810589172,1.37626590811e-05,1.38061880411,9.92925236162e-06,1.29277989113,2.50936065952e-05,0.263209265526,1.20423266959e-05
0.04,1.44219452936,5.08785955088e-06,0.307997040581,1.4790976336e-05,1.38642099473,1.11303437333e-05,1.30027351591,1.78634419889e-05,0.269497410509,1.2942104294e-05
0.05,1.44494783663,4.39497982917e-06,0.31456478329,1.43030686775e-05,1.39211250859,1.14154503845e-05,1.3067391439,1.45053696762e-05,0.275244185379,1.25151850928e-05
0.06,1.44773077956,4.69635494056e-06,0.320531003912,1.54112578635e-05,1.39756544037,1.26604566137e-05,1.31267666828,1.47745760926e-05,0.280464628423,1.34848506306e-05
0.07,1.45057634407,4.75091500266e-06,0.326037516037,1.58350885628e-05,1.40288773055,1.32894196255e-05,1.31830617898,1.42869450795e-05,0.285282826533,1.38557024924e-05
0.08,1.45343928925,5.38164964333e-06,0.331060187823,1.5937621496e-05,1.4080312826,1.43576551684e-05,1.32351584656,1.46712387221e-05,0.289677664345,1.3945418809e-05
