# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/kochSnowflake_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.33845553049,3.57061159398e-17,0.0302285197588,3.83561792322e-19
0.0001,1.31909680824,0.000129808389638,0.0248135072722,4.12500025224e-05
0.001,1.21074124892,0.00016732569726,0.0136144968972,2.09949066569e-05
0.002,1.17058926885,0.000106573353566,0.0188121143409,4.98251160906e-05
0.003,1.15297966631,8.08926712678e-05,0.0291826026135,7.61336697532e-05
0.004,1.14595061327,5.72460947462e-05,0.0434767443911,8.8578017226e-05
0.005,1.14298820718,4.31446842699e-05,0.0579066340077,0.000102742785038
0.006,1.14202789472,3.70368920509e-05,0.0728773166999,0.00010521039591
0.007,1.1416666804,2.99572497174e-05,0.0869256820959,0.000108547739475
0.008,1.14231455854,3.06063894887e-05,0.100833181862,0.000112085800822
0.009,1.14299801361,2.97135440516e-05,0.11353495137,0.000111053306261
0.01,1.14425256212,3.00894323865e-05,0.125775005961,0.000108606834219
0.02,1.1569633763,2.21868267118e-05,0.218078377784,0.00010695982286
0.03,1.16742062927,1.48377547283e-05,0.277147312916,8.0805702364e-05
0.04,1.17644273982,1.37067184388e-05,0.315459927728,6.57567262395e-05
0.05,1.18503483811,1.28165863153e-05,0.343671189366,6.1321066079e-05
0.06,1.19363876622,1.36968275949e-05,0.365617454495,5.55451869551e-05
0.07,1.20229278173,1.41406138074e-05,0.383123647298,4.58778486653e-05
0.08,1.21100384468,1.49015149827e-05,0.397543157445,4.17214598359e-05
0.09,1.21959303297,1.54600356884e-05,0.4099556523,4.06733672148e-05
0.1,1.22803115494,1.68493260593e-05,0.420622691888,4.01546601794e-05
0.2,1.30179227313,1.56622404742e-05,0.48383966735,2.45328403855e-05
0.3,1.35653541164,1.3302882047e-05,0.510927746116,1.85967895792e-05
0.4,1.39824418268,1.30860792472e-05,0.521684362162,1.59335392029e-05
0.5,1.43158926979,1.0899892559e-05,0.524015342778,1.58599030138e-05
0.6,1.45892841123,1.01767406928e-05,0.520927621128,1.67845996088e-05
0.7,1.48212713596,9.36924334536e-06,0.514735251852,1.5530097861e-05
0.8,1.50213671274,8.14829558345e-06,0.506623741072,1.40874555511e-05
0.9,1.51969391213,8.51941046465e-06,0.497381573588,1.34256118671e-05
1.0,1.53541580445,7.88216416551e-06,0.487566436163,1.27888750293e-05
2.0,1.64054056878,5.84617632584e-06,0.391056856927,1.0582192271e-05
3.0,1.70413203825,5.40161799897e-06,0.312631008889,1.01127717392e-05
4.0,1.74966257935,4.38371605648e-06,0.252141380367,8.01127863367e-06
5.0,1.78474913565,3.99143136606e-06,0.205443730766,7.56478513906e-06
6.0,1.81300421282,3.60113145843e-06,0.168531218128,6.59745037446e-06
7.0,1.83639240953,3.52592935245e-06,0.138746923161,6.106620568e-06
8.0,1.85616849846,3.31827993858e-06,0.114257043179,5.41573067073e-06
9.0,1.87308352579,2.993613482e-06,0.0940221871669,4.64452852735e-06
10.0,1.88771867567,2.8043331003e-06,0.0772026688716,4.09221267343e-06
15.0,1.93802702157,1.85330530512e-06,0.0274349375668,1.70347725377e-06
20.0,1.96570501999,1.43366137762e-06,0.00899808506248,7.76988440654e-07
25.0,1.98132499887,1.04094552472e-06,0.00274544365956,3.07776763897e-07
30.0,1.99011282215,7.97787874955e-07,0.000777653337397,1.26771339185e-07
35.0,1.99496393832,5.43291385095e-07,0.000202576439044,4.38211400496e-08
40.0,1.99755880176,3.43832872949e-07,4.76609726917e-05,1.34085690703e-08
45.0,1.99888388832,2.47626777913e-07,9.96951736814e-06,4.42523086165e-09
50.0,1.9995218729,1.73967800271e-07,1.83113709709e-06,1.33455764797e-09
# The data files below are included in this aggregation:,,,,
# logfiles/kochSnowflake/kochSnowflake_u001-20160227_233615.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u002-20160227_234436.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u003-20160227_235314.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u004-20160228_000147.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u005-20160228_001100.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u006-20160228_001948.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u007-20160228_002856.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u008-20160228_003805.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u009-20160228_004706.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u010-20160228_005625.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u011-20160306_152549.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u012-20160306_152550.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u013-20160306_152556.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u014-20160306_152611.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u015-20160306_152620.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u016-20160306_152635.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u017-20160306_152654.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u018-20160306_152655.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u019-20160306_152855.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u020-20160306_152905.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u021-20160306_154614.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u022-20160306_154703.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u023-20160306_154722.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u024-20160306_154756.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u025-20160306_154801.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u026-20160306_154849.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u027-20160306_154849.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u028-20160306_154854.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u029-20160306_154856.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u030-20160306_154905.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u031-20160306_154923.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u032-20160306_154928.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u033-20160306_154932.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u034-20160306_154937.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u035-20160306_154941.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u036-20160306_154944.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u037-20160306_154946.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u038-20160306_154959.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u039-20160306_155003.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u040-20160306_155006.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u041-20160306_155013.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u042-20160306_155019.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u043-20160306_155028.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u044-20160306_155034.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u045-20160306_155043.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u046-20160306_155054.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u047-20160306_155214.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u048-20160306_155226.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u049-20160306_155326.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u050-20160306_155344.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u051-20160306_155345.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u052-20160306_155347.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u053-20160306_155410.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u054-20160306_155426.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u055-20160306_155437.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u056-20160306_155444.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u057-20160306_155525.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u058-20160306_155529.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u059-20160306_155540.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u060-20160306_155543.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u061-20160306_155556.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u062-20160306_155556.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u063-20160306_155558.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u064-20160306_155634.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u065-20160306_155708.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u066-20160306_155744.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u067-20160306_155849.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u068-20160306_155914.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u069-20160306_160106.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u070-20160306_160156.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u071-20160306_161622.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u072-20160306_161712.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u073-20160306_161743.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u074-20160306_161852.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u075-20160306_161858.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u076-20160306_161927.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u077-20160306_162023.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u078-20160306_162304.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u079-20160306_162314.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u080-20160306_162341.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u081-20160306_162423.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u082-20160306_162448.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u083-20160306_162554.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u084-20160306_162558.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u085-20160306_162633.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u086-20160306_162649.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u087-20160306_162729.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u088-20160306_162736.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u089-20160306_162750.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u090-20160306_162801.csv,,,,
# logfiles/kochSnowflake/kochSnowflake_u091-20160306_162830.csv,,,,
