# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/35owl_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.8211552824,1.56214257237e-17,0.0517171075164,7.67123584645e-19
0.0001,1.8211558292,1.31385930922e-07,0.0517221170513,7.78547752982e-08
0.001,1.8211704303,3.53683341347e-07,0.0517652218226,2.58790874861e-07
0.002,1.82119210124,4.89533688319e-07,0.0518139055752,3.55055805893e-07
0.003,1.82121378961,6.30788873076e-07,0.0518647828281,4.09443744602e-07
0.004,1.82123209731,7.92941071915e-07,0.0519151676501,4.83104152407e-07
0.005,1.82125182515,8.23033732454e-07,0.0519617604695,5.54470073648e-07
0.006,1.82127499472,8.68831166027e-07,0.0520076549466,5.93530343284e-07
0.007,1.82130457213,9.33632077901e-07,0.0520561935311,6.61816334441e-07
0.008,1.82132937965,1.00122721176e-06,0.0521051573008,7.5397614179e-07
0.009,1.82134772836,1.057229055e-06,0.0521516080713,8.08302949972e-07
0.01,1.8213685759,1.13131417299e-06,0.0521950984846,8.49877716321e-07
0.02,1.82160042422,1.28997011437e-06,0.0526661995683,1.11817053685e-06
0.03,1.82187958327,1.52154625338e-06,0.0531187544713,1.32476997794e-06
0.04,1.82219324653,1.60642612263e-06,0.0535606204336,1.45421602991e-06
0.05,1.82253238344,1.65023301192e-06,0.053998283115,1.68550603873e-06
0.06,1.8228734621,1.75767480356e-06,0.0544161776079,1.8567756531e-06
0.07,1.82324524259,1.74131135411e-06,0.0548254122124,1.94320596635e-06
0.08,1.82360356176,1.82245395996e-06,0.0552128669439,2.00200544768e-06
0.09,1.8239577888,1.85013010234e-06,0.0555877925751,2.04067379483e-06
0.1,1.82432692729,1.9527656051e-06,0.0559608063006,2.0354858558e-06
0.2,1.82789030421,2.49046184226e-06,0.0591632881884,2.37904577795e-06
0.3,1.83102391347,2.21838406809e-06,0.0616530978833,2.442102901e-06
