# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/koch3lines_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.2634978471,2.23163224624e-18,0.0188764921114,4.1843104617e-19
0.0001,1.25883432042,5.21862431281e-05,0.0183366049526,2.17311974824e-05
0.001,1.22647136205,9.32551446672e-05,0.0182200040662,4.50257161432e-05
0.002,1.21078725878,6.44361012757e-05,0.0261030117416,5.5421482278e-05
0.003,1.20369933116,5.14915230624e-05,0.038031972008,6.7224705366e-05
0.004,1.20138751972,4.10765130686e-05,0.0516363621613,8.32240522753e-05
0.005,1.20059972302,3.27319043102e-05,0.0647409165457,8.62374226405e-05
0.006,1.20046651647,2.95988017487e-05,0.0773022543248,8.49713619575e-05
0.007,1.20077628744,2.50058888247e-05,0.0890017094118,8.82195611607e-05
0.008,1.20165047867,2.73990660766e-05,0.100438273773,9.51607885116e-05
0.009,1.20244470657,2.52659981338e-05,0.111143914897,9.44174539341e-05
0.01,1.20367421781,2.44433766744e-05,0.121397782665,9.02293500162e-05
0.02,1.21355091528,1.86381469337e-05,0.19910641751,8.84119899761e-05
0.03,1.22112447312,1.291236962e-05,0.249325647181,6.78074567164e-05
0.04,1.22789382965,1.13392083899e-05,0.283277824704,5.71600531653e-05
0.05,1.23456612016,1.04053650908e-05,0.308750389692,5.55646216805e-05
0.06,1.24143659287,1.17646995615e-05,0.328988195509,4.91239376588e-05
0.07,1.24847146572,1.18959342961e-05,0.345318024524,4.10357910604e-05
0.08,1.25566994558,1.28188170939e-05,0.358986628296,3.76293562626e-05
0.09,1.26284720363,1.30907582883e-05,0.370863428089,3.57933708024e-05
0.1,1.26995430815,1.43476703115e-05,0.381179526028,3.55851082331e-05
0.2,1.33373441681,1.39544656235e-05,0.444419043023,2.43747591219e-05
0.3,1.38225403195,1.18922333683e-05,0.473775968424,1.72797289601e-05
0.4,1.41973296118,1.19352082097e-05,0.487321834153,1.52707411231e-05
0.5,1.44999140661,1.00670357892e-05,0.492372142693,1.55275925176e-05
