# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/checkers_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.94704496639,4.24010126786e-17,0.384472456692,1.11581612312e-18
0.0001,1.94458628248,1.9391851021e-05,0.362581593449,0.000169423540596
0.001,1.92539778364,4.59520184725e-05,0.218647124868,0.000291301483605
0.002,1.91006839089,4.88271847561e-05,0.137668380924,0.000219807673338
0.003,1.8991980021,4.77774655156e-05,0.0978569995221,0.000150456971186
0.004,1.89161973308,4.52776524482e-05,0.0781968984604,0.000102667959116
0.005,1.88609518687,4.28899047561e-05,0.0677906711293,6.97201470603e-05
0.006,1.88209394597,3.73701444421e-05,0.0617901595438,4.80172064578e-05
0.007,1.87854984716,3.25087275319e-05,0.0574900207805,3.54339008143e-05
0.008,1.87594375986,2.93583065552e-05,0.0549094897897,2.87672746914e-05
0.009,1.8736549879,2.64404706813e-05,0.0525535902626,2.70907077056e-05
0.01,1.87201151164,2.49272461674e-05,0.0506979856514,2.66201925393e-05
0.02,1.86364579526,1.07009782193e-05,0.0378062679425,1.64113190333e-05
0.03,1.85921762683,9.29108728228e-06,0.0313700378061,1.11412577201e-05
0.04,1.85570243929,7.96129976825e-06,0.0282946212983,1.07004237719e-05
0.05,1.85302432134,7.11035507804e-06,0.026938692488,1.04347087198e-05
0.06,1.85105476109,6.85384778365e-06,0.0264330585901,1.09454797553e-05
0.07,1.84978709596,5.38177978621e-06,0.0262431603043,9.19188371305e-06
0.08,1.84907045998,4.80898487308e-06,0.0262069611872,8.02257253861e-06
0.09,1.84869097338,4.45256687815e-06,0.0262624443012,6.93141641935e-06
0.1,1.84859428048,4.38209553623e-06,0.026368534333,6.27491240492e-06
0.2,1.85415800029,4.47569832799e-06,0.0275356905597,4.54143138204e-06
0.3,1.86125481909,4.08204315286e-06,0.0280180147237,3.60607803747e-06
0.4,1.8668381972,3.72042635574e-06,0.0277798555815,2.4836972646e-06
0.5,1.87109872569,3.07693501312e-06,0.0275737132198,2.77752281794e-06
0.6,1.87423367551,2.73204283386e-06,0.0274292389661,2.57886796466e-06
0.7,1.876659685,2.27528520842e-06,0.0274282917782,2.3293049805e-06
0.8,1.87855370748,1.93098337204e-06,0.0275082317907,2.06340072189e-06
0.9,1.88010462118,1.74381746466e-06,0.0276743374329,1.79396632969e-06
1.0,1.8814093104,1.42083488828e-06,0.0278939110629,1.55233913e-06
2.0,1.89112745972,1.00643570539e-06,0.0307483025241,1.25151141942e-06
3.0,1.90009770645,1.31835842517e-06,0.0308539591139,1.14047525577e-06
4.0,1.90879244432,1.34198993443e-06,0.0293166758319,1.08996759511e-06
