# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/circle_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,0.954158859948,2.23163224624e-17,0.00334385765737,3.92279105784e-20
0.0001,0.940619630972,9.34923963601e-05,0.00386600326223,1.40009964467e-05
0.001,0.866131112018,0.000128692084352,0.0109164995425,6.21228616268e-05
0.002,0.839749044405,8.60533863049e-05,0.0293515489776,0.000101932316191
0.003,0.83133559724,7.06092546753e-05,0.0585557106932,0.000147686588943
0.004,0.830304506296,5.14709175915e-05,0.0892554306539,0.00016592183036
0.005,0.83244864,4.62271630403e-05,0.118736110525,0.000170585548717
0.006,0.83582422617,4.06203666634e-05,0.146969450545,0.00016230676333
0.007,0.839510375342,3.89834861167e-05,0.173419504661,0.000161128969482
0.008,0.844143703669,4.07555062808e-05,0.19773338648,0.000162813868783
0.009,0.848631988809,3.82590604401e-05,0.220884578533,0.000167027948798
0.01,0.853338816311,3.67205731785e-05,0.242137428835,0.000167062030638
0.02,0.894871341085,3.24658648026e-05,0.393540398591,0.000144736266693
0.03,0.926860710462,2.69362531315e-05,0.478824513377,0.000101639666135
0.04,0.953085604993,2.91376156935e-05,0.52935734298,8.19690854326e-05
0.05,0.976396787739,2.64823721986e-05,0.563850749057,7.47647758802e-05
0.06,0.997630128965,2.64832513706e-05,0.588777640468,6.56605911467e-05
0.07,1.01721909717,2.64050575671e-05,0.607256064844,5.41151001231e-05
0.08,1.03568480117,2.78377558877e-05,0.621279889726,4.46212232577e-05
0.09,1.05292771504,2.7556345469e-05,0.632456223564,4.4992192461e-05
0.1,1.06920626363,2.82315464898e-05,0.641099271663,4.37780260783e-05
0.2,1.19347134366,2.35949438227e-05,0.674241499263,2.78550957404e-05
0.3,1.27432155058,1.82094297139e-05,0.672563105375,2.19347087964e-05
0.4,1.33202974346,1.67040987607e-05,0.660594460097,1.86192509269e-05
0.5,1.37625529477,1.36352842986e-05,0.645003900254,1.92445006514e-05
0.6,1.41147803808,1.22795000995e-05,0.627715134921,1.96877362344e-05
0.7,1.44063466616,1.11529967471e-05,0.609933657702,1.86949245983e-05
0.8,1.46530026349,9.69937577735e-06,0.592264303701,1.69957852087e-05
0.9,1.48658795836,9.81789330394e-06,0.575005526149,1.63418713674e-05
1.0,1.50537681586,8.92134124484e-06,0.558421288157,1.52243344474e-05
