# Image Name: circle.png
# Image Path: test_images/Larger/circle.png
# Image Resolution: 2100x1800
# Base Signal: 4509
# Noise Model: uniform
# Grid Widths: 3,5,10,20,30,50,100,150,300,
# Timestamp, Noise%, Signal, Gridcount, Boxes Counted ..., Dimension, Variance
20160209_112709,0.0,4509,R9,1913,1191,617,315,213,127,63,45,23,D,0.9541588599479309,V,0.0033438576573666745
20160209_112725,0.001,4554,R9,1958,1236,662,359,255,172,104,72,38,D,0.8566778953158807,V,0.005144026948472042
20160209_112741,0.002,4602,R9,2006,1284,710,408,303,212,132,96,39,D,0.8411092844344433,V,0.03896555207502622
20160209_112758,0.003,4632,R9,2035,1313,737,435,329,241,158,113,42,D,0.8266751532881482,V,0.06862511623795413
20160209_112814,0.004,4648,R9,2051,1328,752,447,344,254,167,117,42,D,0.8277632316923134,V,0.08133619119836287
20160209_112830,0.005,4712,R9,2114,1392,815,507,400,297,199,135,41,D,0.8370630058932794,V,0.14514636527997862
20160209_112846,0.006,4718,R9,2121,1399,821,514,408,313,194,127,42,D,0.8348817321372445,V,0.12075317486615753
20160209_112902,0.007,4780,R9,2182,1457,879,570,458,349,222,145,42,D,0.8383700171333002,V,0.17477417924458116
20160209_112918,0.008,4831,R9,2232,1509,932,619,505,390,249,155,42,D,0.8450002877859446,V,0.2213350447828959
20160209_112933,0.009,4883,R9,2286,1564,982,658,535,419,256,154,42,D,0.8524531255792576,V,0.2289344724061268
20160209_112949,0.01,4885,R9,2284,1562,982,667,549,422,259,156,42,D,0.8517974991448802,V,0.23536391575759572
20160209_113005,0.02,5244,R9,2645,1919,1337,999,851,665,338,167,42,D,0.8943466191002301,V,0.3966123439612264
20160209_113021,0.03,5610,R9,3011,2282,1693,1330,1140,846,365,168,42,D,0.9265099799276774,V,0.47890376103967724
20160209_113037,0.04,6046,R9,3438,2705,2099,1690,1425,1020,373,167,42,D,0.9559775960971142,V,0.5351557510144155
20160209_113053,0.05,6319,R9,3719,2981,2365,1910,1613,1094,377,168,42,D,0.972820143933436,V,0.5586652491615175
20160209_113108,0.06,6719,R9,4108,3375,2747,2253,1863,1183,378,168,42,D,0.9964482355124897,V,0.5848847147638297
20160209_113123,0.07,7162,R9,4548,3807,3154,2570,2121,1274,376,168,42,D,1.0167425095950606,V,0.6113483353005212
20160209_113138,0.08,7475,R9,4860,4116,3444,2779,2258,1321,378,168,42,D,1.0323265504577905,V,0.6234768064348247
20160209_113152,0.09,7912,R9,5288,4529,3834,3093,2443,1370,378,168,42,D,1.053170946584946,V,0.6348859928587114
20160209_113207,0.1,8280,R9,5659,4892,4149,3331,2594,1418,378,168,42,D,1.0682560275732613,V,0.6464550288319623
20160209_113221,0.2,12135,R9,9453,8592,7448,5365,3558,1507,378,168,42,D,1.1945299274741128,V,0.6744810352896984
20160209_113236,0.3,15705,R9,12947,11932,10149,6669,3909,1511,378,168,42,D,1.2720452976971468,V,0.6709279164329564
20160209_113249,0.4,19434,R9,16558,15320,12775,7631,4094,1512,378,168,42,D,1.3304145778400027,V,0.6636170759581604
20160209_113303,0.5,23304,R9,20278,18839,15243,8224,4171,1512,378,168,42,D,1.3750896237113106,V,0.6470212121976857
20160209_113316,0.6,27101,R9,23875,22102,17398,8604,4178,1512,378,168,42,D,1.4104396926174645,V,0.6274958217219734
20160209_113331,0.7,30956,R9,27534,25313,19401,8876,4194,1512,378,168,42,D,1.4403398321396035,V,0.6082847012138919
20160209_113344,0.8,34886,R9,31178,28596,21178,9073,4197,1512,378,168,42,D,1.4656681797056064,V,0.5908503299246018
20160209_113357,0.9,38514,R9,34673,31615,22824,9219,4200,1512,378,168,42,D,1.4872045458631038,V,0.5756437599254934
20160209_113410,1.0,42330,R9,38060,34576,24231,9310,4198,1512,378,168,42,D,1.5055360027482887,V,0.5606704819475316
20160209_113421,2.0,79771,R9,71192,60536,32761,9446,4200,1512,378,168,42,D,1.624548228687842,V,0.42673621372625253
20160209_113432,3.0,117868,R9,102124,81041,35948,9450,4200,1512,378,168,42,D,1.6941162646161665,V,0.3336199395954949
20160209_113442,4.0,155546,R9,130372,96966,37202,9450,4200,1512,378,168,42,D,1.7423260624863768,V,0.26699139856832815
20160209_113452,5.0,193082,R9,156644,109713,37572,9450,4200,1512,378,168,42,D,1.7792998097039534,V,0.21628715556609723
20160209_113502,6.0,230887,R9,180478,119254,37727,9450,4200,1512,378,168,42,D,1.8085904580576342,V,0.1765192516152093
20160209_113511,7.0,268805,R9,202190,126559,37771,9450,4200,1512,378,168,42,D,1.8325616509429632,V,0.14480008585893328
20160209_113520,8.0,307162,R9,222963,132659,37790,9450,4200,1512,378,168,42,D,1.8534631292082584,V,0.11872599261813988
20160209_113528,9.0,344203,R9,241074,137150,37796,9450,4200,1512,378,168,42,D,1.8704309597033268,V,0.09828493637344941
20160209_113537,10.0,381658,R9,257729,140501,37800,9450,4200,1512,378,168,42,D,1.8852244656416484,V,0.08081387250958674
20160209_113544,15.0,570272,R9,322588,148615,37800,9450,4200,1512,378,168,42,D,1.936538306092699,V,0.028787187170231952
20160209_113551,20.0,759582,R9,363809,150665,37800,9450,4200,1512,378,168,42,D,1.9650826673672965,V,0.009353092862156685
20160209_113557,25.0,949182,R9,388482,151056,37800,9450,4200,1512,378,168,42,D,1.9809726542072126,V,0.0028370740002107114
20160209_113602,30.0,1136842,R9,403106,151180,37800,9450,4200,1512,378,168,42,D,1.9899622396811028,V,0.0008016848140194495
