Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
15122015_12:40:48,mLVjktX7,circle.png,0,R9,1913,1191,617,315,213,127,63,45,23,
15122015_12:41:2,mLVjktX7,circle.png,1,R9,3790,3052,2422,1980,1665,1125,376,168,42,
15122015_12:41:17,mLVjktX7,circle.png,2,R9,5565,4803,4068,3260,2546,1379,378,168,42,
15122015_12:41:35,mLVjktX7,circle.png,3,R9,7600,6784,5846,4478,3193,1486,378,168,42,
15122015_12:41:49,mLVjktX7,circle.png,4,R9,9437,8583,7445,5421,3565,1505,378,168,42,
15122015_12:42:4,mLVjktX7,circle.png,5,R9,11338,10431,8975,6169,3800,1507,378,168,42,
15122015_12:42:17,mLVjktX7,circle.png,6,R9,13108,12092,10249,6724,3952,1510,378,168,42,
15122015_12:42:32,mLVjktX7,circle.png,7,R9,14969,13863,11668,7223,4028,1512,378,168,42,
15122015_12:42:48,mLVjktX7,circle.png,8,R9,16653,15422,12834,7575,4083,1512,378,168,42,
15122015_12:43:1,mLVjktX7,circle.png,9,R9,18575,17230,14124,7933,4131,1512,378,168,42,
15122015_12:43:17,mLVjktX7,circle.png,10,R9,20253,18765,15142,8239,4158,1512,378,168,42,
15122015_12:43:31,mLVjktX7,circle.png,11,R9,22245,20620,16343,8437,4176,1512,378,168,42,
15122015_12:43:48,mLVjktX7,circle.png,12,R9,23980,22176,17454,8647,4186,1512,378,168,42,
15122015_12:44:6,mLVjktX7,circle.png,13,R9,25949,23987,18582,8817,4193,1512,378,168,42,
15122015_12:44:21,mLVjktX7,circle.png,14,R9,27795,25510,19501,8883,4188,1512,378,168,42,
15122015_12:44:35,mLVjktX7,circle.png,15,R9,29264,26914,20339,9001,4198,1512,378,168,42,
15122015_12:44:47,mLVjktX7,circle.png,16,R9,30874,28290,20971,9068,4196,1512,378,168,42,
15122015_12:45:2,mLVjktX7,circle.png,17,R9,32637,29922,21921,9111,4196,1512,378,168,42,
15122015_12:45:20,mLVjktX7,circle.png,18,R9,34574,31559,22817,9218,4198,1512,378,168,42,
15122015_12:45:36,mLVjktX7,circle.png,19,R9,36571,33280,23542,9263,4200,1512,378,168,42,
15122015_12:45:50,mLVjktX7,circle.png,20,R9,37872,34342,24053,9281,4199,1512,378,168,42,
15122015_12:46:41,mLVjktX7,kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
15122015_12:46:59,mLVjktX7,kochSnowflake.png,1,R9,10089,6211,3708,2393,1822,1164,375,168,42,
15122015_12:47:18,mLVjktX7,kochSnowflake.png,2,R9,11913,8001,5368,3650,2689,1402,378,168,42,
15122015_12:47:32,mLVjktX7,kochSnowflake.png,3,R9,13837,9872,6997,4770,3287,1485,378,168,42,
15122015_12:47:51,mLVjktX7,kochSnowflake.png,4,R9,15643,11605,8521,5587,3616,1500,378,168,42,
15122015_12:48:6,mLVjktX7,kochSnowflake.png,5,R9,17407,13286,9879,6271,3803,1508,378,168,42,
15122015_12:48:22,mLVjktX7,kochSnowflake.png,6,R9,19255,15028,11326,6894,3959,1511,378,168,42,
15122015_12:48:36,mLVjktX7,kochSnowflake.png,7,R9,20866,16540,12459,7373,4045,1512,378,168,42,
15122015_12:48:50,mLVjktX7,kochSnowflake.png,8,R9,22765,18291,13707,7715,4106,1512,378,168,42,
15122015_12:49:3,mLVjktX7,kochSnowflake.png,9,R9,24615,20060,15002,8034,4139,1512,378,168,42,
15122015_12:49:16,mLVjktX7,kochSnowflake.png,10,R9,26289,21599,16036,8242,4147,1512,378,168,42,
15122015_12:49:30,mLVjktX7,kochSnowflake.png,11,R9,28104,23182,17096,8470,4173,1512,378,168,42,
15122015_12:49:44,mLVjktX7,kochSnowflake.png,12,R9,30036,24928,18155,8675,4183,1512,378,168,42,
15122015_12:49:57,mLVjktX7,kochSnowflake.png,13,R9,31705,26488,19121,8822,4189,1512,378,168,42,
15122015_12:50:9,mLVjktX7,kochSnowflake.png,14,R9,33567,28111,20042,8897,4195,1512,378,168,42,
15122015_12:50:28,mLVjktX7,kochSnowflake.png,15,R9,35091,29449,20918,9006,4198,1512,378,168,42,
15122015_12:50:41,mLVjktX7,kochSnowflake.png,16,R9,36760,30959,21752,9093,4200,1512,378,168,42,
15122015_12:50:53,mLVjktX7,kochSnowflake.png,17,R9,38675,32538,22586,9149,4199,1512,378,168,42,
15122015_12:51:5,mLVjktX7,kochSnowflake.png,18,R9,40134,33849,23157,9192,4200,1512,378,168,42,
15122015_12:51:18,mLVjktX7,kochSnowflake.png,19,R9,41719,35183,23869,9237,4199,1512,378,168,42,
15122015_12:51:28,mLVjktX7,kochSnowflake.png,20,R9,43751,36863,24573,9298,4199,1512,378,168,42,
15122015_12:52:6,mLVjktX7,canopy.png,0,R9,77410,30618,8905,2625,1295,542,174,83,26,
15122015_12:52:18,mLVjktX7,canopy.png,1,R9,78967,32138,10332,3881,2354,1232,377,168,42,
15122015_12:52:29,mLVjktX7,canopy.png,2,R9,80427,33537,11596,4831,3011,1430,378,168,42,
15122015_12:52:40,mLVjktX7,canopy.png,3,R9,82036,35103,12943,5696,3427,1490,378,168,42,
15122015_12:52:51,mLVjktX7,canopy.png,4,R9,83435,36435,14125,6345,3709,1506,378,168,42,
15122015_12:53:2,mLVjktX7,canopy.png,5,R9,84843,37748,15157,6859,3868,1512,378,168,42,
15122015_12:53:14,mLVjktX7,canopy.png,6,R9,86471,39272,16417,7395,4007,1511,378,168,42,
15122015_12:53:26,mLVjktX7,canopy.png,7,R9,87913,40594,17351,7757,4074,1512,378,168,42,
15122015_12:53:36,mLVjktX7,canopy.png,8,R9,89563,42202,18505,8070,4102,1512,378,168,42,
15122015_12:53:48,mLVjktX7,canopy.png,9,R9,90930,43325,19336,8335,4148,1512,378,168,42,
15122015_12:54:0,mLVjktX7,canopy.png,10,R9,92264,44617,20192,8516,4162,1512,378,168,42,
15122015_12:54:17,mLVjktX7,canopy.png,11,R9,93963,46135,21163,8690,4181,1512,378,168,42,
15122015_12:54:29,mLVjktX7,canopy.png,12,R9,95439,47477,21950,8809,4185,1512,378,168,42,
15122015_12:54:39,mLVjktX7,canopy.png,13,R9,96951,48864,22799,8961,4196,1512,378,168,42,
15122015_12:54:51,mLVjktX7,canopy.png,14,R9,98328,50014,23476,9058,4193,1512,378,168,42,
15122015_12:55:4,mLVjktX7,canopy.png,15,R9,100073,51511,24309,9137,4198,1512,378,168,42,
15122015_12:55:17,mLVjktX7,canopy.png,16,R9,101120,52433,24807,9156,4198,1512,378,168,42,
15122015_12:55:32,mLVjktX7,canopy.png,17,R9,102887,53850,25513,9222,4199,1512,378,168,42,
15122015_12:55:47,mLVjktX7,canopy.png,18,R9,104120,54951,26054,9279,4200,1512,378,168,42,
