Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
20160209_092857,iaVPjz28,test_images/Larger/kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
20160209_092910,iaVPjz28,test_images/Larger/kochSnowflake.png,0.01,R9,8609,4753,2313,1148,816,531,279,156,42,
20160209_092923,iaVPjz28,test_images/Larger/kochSnowflake.png,0.02,R9,8908,5050,2599,1419,1052,711,336,166,42,
20160209_092937,iaVPjz28,test_images/Larger/kochSnowflake.png,0.03,R9,9240,5372,2898,1685,1296,848,367,168,42,
20160209_092950,iaVPjz28,test_images/Larger/kochSnowflake.png,0.04,R9,9615,5749,3278,2030,1564,1035,371,168,42,
20160209_093003,iaVPjz28,test_images/Larger/kochSnowflake.png,0.05,R9,10025,6149,3649,2343,1812,1145,375,168,42,
20160209_093016,iaVPjz28,test_images/Larger/kochSnowflake.png,0.06,R9,10441,6554,4026,2613,1992,1214,378,168,42,
20160209_093029,iaVPjz28,test_images/Larger/kochSnowflake.png,0.07,R9,10861,6976,4399,2925,2240,1302,378,168,42,
20160209_093042,iaVPjz28,test_images/Larger/kochSnowflake.png,0.08,R9,11151,7254,4705,3191,2392,1335,378,168,42,
20160209_093055,iaVPjz28,test_images/Larger/kochSnowflake.png,0.09,R9,11488,7584,4996,3394,2523,1365,378,168,42,
20160209_093108,iaVPjz28,test_images/Larger/kochSnowflake.png,0.1,R9,11794,7885,5257,3606,2669,1415,378,168,42,
20160209_093120,iaVPjz28,test_images/Larger/kochSnowflake.png,0.2,R9,15519,11502,8432,5522,3566,1500,378,168,42,
20160209_093132,iaVPjz28,test_images/Larger/kochSnowflake.png,0.3,R9,19054,14859,11129,6850,3961,1512,378,168,42,
20160209_093144,iaVPjz28,test_images/Larger/kochSnowflake.png,0.4,R9,23016,18551,13897,7736,4107,1512,378,168,42,
20160209_093157,iaVPjz28,test_images/Larger/kochSnowflake.png,0.5,R9,26469,21754,16228,8313,4163,1512,378,168,42,
20160209_093210,iaVPjz28,test_images/Larger/kochSnowflake.png,0.6,R9,30048,24960,18203,8701,4181,1512,378,168,42,
20160209_093222,iaVPjz28,test_images/Larger/kochSnowflake.png,0.7,R9,33257,27863,19876,8931,4193,1512,378,168,42,
20160209_093234,iaVPjz28,test_images/Larger/kochSnowflake.png,0.8,R9,36844,30954,21680,9099,4197,1512,378,168,42,
20160209_093248,iaVPjz28,test_images/Larger/kochSnowflake.png,0.9,R9,40621,34243,23423,9224,4200,1512,378,168,42,
20160209_093300,iaVPjz28,test_images/Larger/kochSnowflake.png,1,R9,43760,36874,24645,9316,4198,1512,378,168,42,
20160209_093310,iaVPjz28,test_images/Larger/kochSnowflake.png,2,R9,76400,62431,33101,9449,4200,1512,378,168,42,
20160209_093320,iaVPjz28,test_images/Larger/kochSnowflake.png,3,R9,106637,82478,36061,9450,4200,1512,378,168,42,
20160209_093330,iaVPjz28,test_images/Larger/kochSnowflake.png,4,R9,134704,98414,37193,9450,4200,1512,378,168,42,
20160209_093341,iaVPjz28,test_images/Larger/kochSnowflake.png,5,R9,160055,110197,37557,9450,4200,1512,378,168,42,
20160209_093351,iaVPjz28,test_images/Larger/kochSnowflake.png,6,R9,184318,119951,37720,9450,4200,1512,378,168,42,
20160209_093359,iaVPjz28,test_images/Larger/kochSnowflake.png,7,R9,205716,127292,37779,9450,4200,1512,378,168,42,
20160209_093407,iaVPjz28,test_images/Larger/kochSnowflake.png,8,R9,225424,132855,37794,9450,4200,1512,378,168,42,
20160209_093415,iaVPjz28,test_images/Larger/kochSnowflake.png,9,R9,244082,137436,37798,9450,4200,1512,378,168,42,
20160209_093424,iaVPjz28,test_images/Larger/kochSnowflake.png,10,R9,260497,140743,37798,9450,4200,1512,378,168,42,
20160209_093431,iaVPjz28,test_images/Larger/kochSnowflake.png,15,R9,324874,148676,37800,9450,4200,1512,378,168,42,
20160209_093438,iaVPjz28,test_images/Larger/kochSnowflake.png,20,R9,364778,150634,37800,9450,4200,1512,378,168,42,
20160209_093445,iaVPjz28,test_images/Larger/kochSnowflake.png,25,R9,388986,151099,37800,9450,4200,1512,378,168,42,
20160209_093451,iaVPjz28,test_images/Larger/kochSnowflake.png,30,R9,403215,151189,37800,9450,4200,1512,378,168,42,
20160209_093456,iaVPjz28,test_images/Larger/kochSnowflake.png,35,R9,411638,151198,37800,9450,4200,1512,378,168,42,
20160209_093500,iaVPjz28,test_images/Larger/kochSnowflake.png,40,R9,415827,151200,37800,9450,4200,1512,378,168,42,
20160209_093505,iaVPjz28,test_images/Larger/kochSnowflake.png,45,R9,418147,151199,37800,9450,4200,1512,378,168,42,
20160209_093509,iaVPjz28,test_images/Larger/kochSnowflake.png,50,R9,419193,151200,37800,9450,4200,1512,378,168,42,
