Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
15122015_20:57:38,ic7VjM1G,kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
15122015_20:57:53,ic7VjM1G,kochSnowflake.png,1,R9,10147,6264,3757,2420,1880,1143,377,168,42,
15122015_20:58:7,ic7VjM1G,kochSnowflake.png,2,R9,11859,7957,5324,3632,2693,1412,378,168,42,
15122015_20:58:19,ic7VjM1G,kochSnowflake.png,3,R9,13813,9823,6981,4716,3285,1488,378,168,42,
15122015_20:58:33,ic7VjM1G,kochSnowflake.png,4,R9,15586,11570,8472,5561,3591,1497,378,168,42,
15122015_20:58:46,ic7VjM1G,kochSnowflake.png,5,R9,17452,13335,9956,6333,3798,1511,378,168,42,
15122015_20:58:59,ic7VjM1G,kochSnowflake.png,6,R9,19337,15105,11343,6908,3950,1510,378,168,42,
15122015_20:59:12,ic7VjM1G,kochSnowflake.png,7,R9,20999,16730,12591,7327,4029,1512,378,168,42,
15122015_20:59:24,ic7VjM1G,kochSnowflake.png,8,R9,22745,18384,13761,7677,4093,1512,378,168,42,
15122015_20:59:36,ic7VjM1G,kochSnowflake.png,9,R9,24250,19720,14766,7998,4132,1512,378,168,42,
15122015_20:59:49,ic7VjM1G,kochSnowflake.png,10,R9,26409,21693,16089,8329,4161,1512,378,168,42,
15122015_21:0:2,ic7VjM1G,kochSnowflake.png,11,R9,28058,23221,17089,8442,4179,1512,378,168,42,
15122015_21:0:14,ic7VjM1G,kochSnowflake.png,12,R9,29728,24669,18044,8659,4182,1512,378,168,42,
15122015_21:0:26,ic7VjM1G,kochSnowflake.png,13,R9,31663,26397,19084,8804,4183,1512,378,168,42,
15122015_21:0:38,ic7VjM1G,kochSnowflake.png,14,R9,33388,28012,20011,8858,4196,1512,378,168,42,
15122015_21:0:50,ic7VjM1G,kochSnowflake.png,15,R9,35324,29627,21025,9041,4193,1512,378,168,42,
15122015_21:1:2,ic7VjM1G,kochSnowflake.png,16,R9,37078,31173,21726,9108,4198,1512,378,168,42,
15122015_21:1:14,ic7VjM1G,kochSnowflake.png,17,R9,38830,32749,22621,9170,4198,1512,378,168,42,
15122015_21:1:26,ic7VjM1G,kochSnowflake.png,18,R9,40463,34043,23332,9215,4200,1512,378,168,42,
15122015_21:1:38,ic7VjM1G,kochSnowflake.png,19,R9,41973,35436,23961,9264,4199,1512,378,168,42,
15122015_21:1:50,ic7VjM1G,kochSnowflake.png,20,R9,43748,36864,24646,9312,4200,1512,378,168,42,
15122015_21:2:1,ic7VjM1G,kochSnowflake.png,30,R9,60767,50731,29877,9430,4200,1512,378,168,42,
15122015_21:2:11,ic7VjM1G,kochSnowflake.png,40,R9,76673,62659,33029,9449,4200,1512,378,168,42,
15122015_21:2:22,ic7VjM1G,kochSnowflake.png,50,R9,92163,73072,34855,9448,4200,1512,378,168,42,
15122015_21:2:32,ic7VjM1G,kochSnowflake.png,70,R9,121249,90931,36761,9450,4200,1512,378,168,42,
15122015_21:2:41,ic7VjM1G,kochSnowflake.png,100,R9,160194,110620,37591,9450,4200,1512,378,168,42,
15122015_21:2:49,ic7VjM1G,kochSnowflake.png,150,R9,215707,130201,37782,9450,4200,1512,378,168,42,
15122015_21:2:57,ic7VjM1G,kochSnowflake.png,200,R9,260291,140670,37799,9450,4200,1512,378,168,42,
15122015_21:3:4,ic7VjM1G,kochSnowflake.png,300,R9,324490,148595,37800,9450,4200,1512,378,168,42,
15122015_21:3:10,ic7VjM1G,kochSnowflake.png,400,R9,365256,150644,37800,9450,4200,1512,378,168,42,
15122015_21:3:15,ic7VjM1G,kochSnowflake.png,500,R9,388994,151081,37800,9450,4200,1512,378,168,42,
15122015_21:3:20,ic7VjM1G,kochSnowflake.png,600,R9,403518,151185,37800,9450,4200,1512,378,168,42,
15122015_21:3:29,ic7VjM1G,kochSnowflake.png,100,R9,160199,110251,37621,9450,4200,1512,378,168,42,
15122015_21:3:34,ic7VjM1G,kochSnowflake.png,800,R9,415953,151200,37800,9450,4200,1512,378,168,42,
15122015_21:3:38,ic7VjM1G,kochSnowflake.png,900,R9,418117,151200,37800,9450,4200,1512,378,168,42,
15122015_21:3:43,ic7VjM1G,kochSnowflake.png,1000,R9,419203,151200,37800,9450,4200,1512,378,168,42,
15122015_21:3:47,ic7VjM1G,kochSnowflake.png,1100,R9,419667,151200,37800,9450,4200,1512,378,168,42,
15122015_21:3:51,ic7VjM1G,kochSnowflake.png,1200,R9,419887,151200,37800,9450,4200,1512,378,168,42,
15122015_21:3:55,ic7VjM1G,kochSnowflake.png,1300,R9,419980,151200,37800,9450,4200,1512,378,168,42,
15122015_21:4:0,ic7VjM1G,kochSnowflake.png,1400,R9,419991,151200,37800,9450,4200,1512,378,168,42,
15122015_21:4:4,ic7VjM1G,kochSnowflake.png,1500,R9,419999,151200,37800,9450,4200,1512,378,168,42,
15122015_21:4:8,ic7VjM1G,kochSnowflake.png,1700,R9,420000,151200,37800,9450,4200,1512,378,168,42,
