# Datalog Version: 1.03
# Log Name: circle-20160214_041023.csv
# Image Name: circle.png
# Image Path: test_images/Larger/circle.png
# Image Resolution: 2100x1800
# Base Signal: 4509
# Noise Model: uniform
# Noise Seed: 101
# Grid Widths: 3,5,10,20,30,50,100,150,300,
# Timestamp,Noise%,Signal,Gridcount,3,5,10,20,30,50,100,150,300,Dimension,Variance
20160214_041105,0.0,4509,R9,1913,1191,617,315,213,127,63,45,23,0.9541588599479309,0.0033438576573666745
20160214_041118,0.001,4549,R9,1953,1231,657,355,251,162,90,72,33,0.8666825156245332,0.024428832466607674
20160214_041132,0.002,4590,R9,1993,1271,697,393,287,196,117,94,37,0.840633917670666,0.05284030012949977
20160214_041146,0.003,4621,R9,2024,1302,728,421,314,224,140,109,38,0.8365643284947457,0.08387629264130149
20160214_041159,0.004,4657,R9,2060,1338,764,457,348,255,163,120,40,0.8326519054884081,0.09885015163949762
20160214_041212,0.005,4703,R9,2106,1384,810,503,392,292,185,132,42,0.8270659950280209,0.11990890183805183
20160214_041225,0.006,4745,R9,2148,1426,851,542,429,325,201,137,42,0.8327582256349623,0.14075005490141282
20160214_041239,0.007,4788,R9,2191,1469,894,582,467,357,222,145,42,0.8388189015431454,0.17434123805308624
20160214_041252,0.008,4832,R9,2235,1512,937,625,508,393,240,154,42,0.8416833324551987,0.20953811633677866
20160214_041306,0.009,4870,R9,2273,1550,974,661,539,418,251,159,42,0.8452865210954121,0.22949264420023294
20160214_041320,0.01,4906,R9,2309,1586,1010,696,572,446,263,162,42,0.8498876776600109,0.24967258397374903
20160214_041333,0.02,5251,R9,2653,1928,1346,1014,857,663,333,168,42,0.893767698071836,0.38493453795251314
20160214_041345,0.03,5612,R9,3013,2285,1697,1338,1143,851,368,168,42,0.927856182631018,0.48495424846140356
20160214_041358,0.04,6032,R9,3433,2702,2100,1685,1431,1020,376,168,42,0.9553076911745749,0.5391968842379001
20160214_041412,0.05,6407,R9,3807,3069,2452,1990,1673,1126,377,168,42,0.9777423206913138,0.5679157208493942
20160214_041425,0.06,6806,R9,4204,3463,2826,2294,1902,1212,377,168,42,0.9995365297338854,0.5903081154380831
20160214_041438,0.07,7182,R9,4576,3831,3175,2588,2117,1279,377,168,42,1.018940706236424,0.6105711167524055
20160214_041451,0.08,7558,R9,4948,4200,3520,2865,2297,1329,378,168,42,1.0378394756808955,0.6248242133732306
20160214_041503,0.09,7973,R9,5358,4604,3898,3166,2469,1374,378,168,42,1.0574557605529666,0.6356269454659803
20160214_041514,0.1,8351,R9,5733,4971,4233,3406,2631,1409,378,168,42,1.072762241605205,0.6466645840649102
20160214_041527,0.2,12048,R9,9388,8525,7402,5383,3580,1505,378,168,42,1.1934674855895009,0.6794895755063406
20160214_041538,0.3,15853,R9,13115,12074,10312,6740,3959,1511,378,168,42,1.2749854795495694,0.6747697849333939
20160214_041551,0.4,19623,R9,16779,15538,12967,7616,4103,1512,378,168,42,1.3323581850849409,0.660709420603551
20160214_041602,0.5,23512,R9,20504,18967,15374,8215,4161,1512,378,168,42,1.3773784475106776,0.6424025836259772
20160214_041614,0.6,27365,R9,24188,22304,17571,8641,4184,1512,378,168,42,1.4134990880175686,0.6253956478558421
20160214_041624,0.7,31074,R9,27707,25446,19454,8885,4197,1512,378,168,42,1.4416194217041296,0.60655035225152
20160214_041634,0.8,34862,R9,31266,28563,21236,9067,4198,1512,378,168,42,1.4663324083633205,0.5890962669577429
20160214_041646,0.9,38558,R9,34728,31591,22841,9185,4199,1512,378,168,42,1.487183657561543,0.5730842896647124
20160214_041656,1.0,42431,R9,38328,34634,24302,9276,4199,1512,378,168,42,1.5066618808440606,0.5557517799588066
20160214_041705,2.0,80253,R9,71662,60752,32919,9447,4200,1512,378,168,42,1.6259426995692985,0.4252767155853324
